10042 | r | 24 25 | 34 | 33
10050 | r | 19 | 18 20 21 22 23 24 25 26 29 | 27 28
10066 | r | 50 51 52 53 54 | 64 49 55 56 57 58 59 60 61 62 63 | 65 66
10081 | r | 3 | 1 2 4 5 6 7 8 9 10 11 12 13 15 16 17 19 21 22 24 25 26 28 | 27
10147 | r | 5 | 1 2 3 4 6 7 8 9 10 | 11 12
10195 | r | 4 5 6 7 | 1 2 3 9 10 11 12 | 8
10299 | r | 9 | 8 10 11 12 | 13
10316 | r | 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 18 19 20 | 23 24 25 26 27 28 29 | 30 31
10316 | r | 17 18 | 8 9 10 11 12 13 14 15 16 20 | 19
10409 | r | 1 2 | 3 4 5 6 7 8 9 10 11 | 12 13
10414 | r | 24 25 26 27 | 32 34 23 28 29 30 31 | 33
10494 | r | 20 | 32 21 22 23 24 25 26 27 28 29 | 30 31
10584 | r | 4 5 6 | 1 2 3 7 9 11 12 13 14 15 16 17 18 19 | 8
10607 | r | 4 | 1 2 3 | 5 6
10615 | r | 1 | 10 11 12 13 14 15 16 17 18 | 19
10632 | r | 1 2 | 3 4 5 6 7 8 9 10 14 15 16 17 | 11 12
10638 | r | 11 | 21 | 20
10659 | r | 3 | 5 | 4
10700 | r | 3 4 5 6 7 8 10 11 12 13 15 16 | 1 2 17 18 19 20 21 22 24 26 27 28 29 30 31 | 23
10781 | r | 16 | 22 | 21
10816 | r | 10 11 12 | 19 | 18
10819 | r | 18 | 17 19 21 | 20
1088 | r | 3 | 1 2 4 5 6 7 8 9 10 11 12 13 | 14
10901 | r | 7 8 9 | 10 11 13 | 12
10924 | r | 7 8 9 10 | 1 2 3 4 5 6 11 12 13 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 | 14 15
10975 | r | 1 2 3 | 8 9 | 10 11
10988 | r | 9 10 11 | 1 2 3 4 6 8 | 12
10991 | r | 1 2 | 4 5 6 7 9 10 11 12 13 14 | 15 16
11000 | r | 2 3 | 1 5 6 7 | 8 9
11202 | r | 5 6 7 8 9 10 11 12 | 1 2 3 4 13 14 15 16 17 18 19 20 21 | 22
11217 | r | 3 4 5 6 | 1 2 | 7
11265 | r | 5 6 7 | 1 2 3 4 9 11 12 13 14 15 16 17 18 19 | 8
11276 | r | 6 7 8 | 1 2 3 4 5 9 10 11 12 13 15 | 14
11301 | r | 8 | 9 12 14 15 17 18 19 20 | 10 11
11342 | r | 1 2 3 | 10 | 9
11434 | r | 46 47 | 45 48 49 50 52 | 51
11521 | r | 1 2 3 4 5 6 7 9 10 | 12 13 14 15 16 | 17
11522 | r | 7 8 9 | 6 10 13 | 11 12
11533 | r | 4 | 5 6 7 8 9 12 | 10 11
11533 | r | 34 | 33 35 | 36 37
11592 | r | 22 | 23 24 25 26 27 28 31 | 29 30
11608 | r | 11 | 3 4 6 7 8 10 12 13 15 16 17 18 19 20 21 22 23 24 26 27 28 29 30 | 31
11620 | r | 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 24 25 26 27 28 29 30 32 33 | 2 3 | 4 5
11632 | r | 2 3 4 | 5 9 10 11 12 13 14 15 16 17 18 19 20 | 6 7
11632 | r | 9 10 11 12 13 | 19 | 17 18
11725 | r | 8 9 11 12 13 14 15 16 17 | 1 2 3 4 5 6 7 19 | 20
11736 | r | 4 | 12 | 11
11827 | r | 16 17 | 18 19 20 24 25 26 27 28 29 30 31 | 21 22
11828 | r | 1 2 3 4 5 6 7 8 | 10 | 11 12
11844 | r | 19 20 21 22 | 18 23 24 25 26 27 30 | 28 29
11871 | r | 4 5 6 7 | 1 2 3 8 9 | 10 11
119 | r | 16 17 18 19 20 21 | 11 14 | 12 13
11929 | r | 14 15 | 1 2 3 4 6 7 8 9 11 12 13 16 17 18 20 22 23 24 25 26 28 29 30 31 | 32 33
11944 | r | 9 | 10 11 12 13 14 15 16 19 | 17 18
12024 | r | 1 2 3 4 5 6 7 8 9 | 10 | 11
12118 | r | 1 2 3 4 5 6 7 8 9 10 11 12 | 22 23 24 25 26 27 28 29 | 30 31
12149 | r | 16 | 17 18 19 20 21 22 23 24 27 | 25 26
12178 | r | 1 2 3 4 | 5 6 7 | 8 9
12224 | r | 4 5 | 1 2 3 6 7 8 9 | 10
12269 | r | 1 2 3 4 | 5 6 | 7
12358 | r | 3 5 7 8 9 11 12 13 14 15 16 17 18 19 20 | 1 2 22 23 24 | 25 26
1237 | r | 12 | 10 11 13 14 15 16 18 | 17
12429 | r | 13 | 11 12 14 15 16 17 18 19 20 23 | 21 22
12495 | r | 10 11 12 | 8 9 15 | 13 14
12540 | r | 2 | 3 4 8 9 10 11 12 13 14 | 5 6
12630 | r | 15 16 | 14 17 18 19 22 | 20 21
12673 | r | 6 7 | 5 8 9 10 11 12 13 14 15 16 19 20 | 17 18
12691 | r | 7 8 | 16 | 10 11 12 13 14 15
12729 | r | 1 2 3 4 | 6 7 8 9 10 11 12 14 15 16 17 19 20 21 25 26 27 29 30 31 32 33 | 22
12733 | r | 9 10 | 15 | 13
12744 | r | 1 2 3 4 5 6 7 8 9 | 11 | 12
12745 | r | 1 2 4 5 6 7 8 9 10 11 12 | 14 15 16 17 18 19 20 21 22 26 27 28 29 30 31 32 34 35 36 37 38 40 41 42 43 44 | 23 24
12745 | r | 40 | 41 42 44 | 43
12746 | r | 47 48 | 46 51 52 | 49 50
12833 | r | 6 | 9 | 7 8
1291 | r | 4 5 6 7 | 8 9 10 11 12 | 13 14
12955 | r | 8 9 | 5 6 7 10 12 13 14 15 16 18 19 20 | 21 22 24
12959 | r | 7 8 9 | 6 10 11 14 | 12 13
