10106 | s | 1 2 | 3 4 5 | 7 8 9 10 11 12 13 14 15 17 18 19 21 22
10117 | s | 1 2 | 3 | 5 6 7 9 10 11 12 13 14 15 16
10122 | s | 1 2 3 4 5 7 8 10 11 12 13 | 14 15 16 | 18 19 20 21 22 23 24 25 26 27
10152 | s | 1 2 3 | 4 5 6 7 | 8
10215 | s | 1 | 2 3 | 5 6 8 9 10 11 12 13 14 15 16 17 18
10274 | o | 16 17 | 1 2 4 5 6 7 8 9 10 12 13 14 15 18 | 20 21 22 23 24 25 26 27 28 29 30 31
1029 | s | 12 | 1 2 3 4 5 7 8 9 11 13 14 | 16 17 18 19 20 21 22 23
10302 | s | 1 2 3 4 5 | 6 7 8 9 | 11 12 13 14 15
10327 | s | 3 5 6 | 8 9 10 11 12 13 | 15 16 17 18 19 20
10385 | s | 15 | 16 17 18 19 20 21 22 23 24 25 26 | 28 29 30
10399 | s | 3 5 6 | 8 9 10 11 12 13 | 15 16 17 18 19 20
10437 | s | 10 | 11 12 13 14 15 | 17 18 19 20 21 22 23 24 25
10454 | s | 1 2 3 4 5 6 | 7 8 9 10 11 | 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
10458 | s | 1 2 3 4 6 8 9 | 10 11 12 13 | 15 16 17 18 19 20 21 22
105 | s | 6 | 2 3 4 5 7 9 10 11 | 13 14 16 17 18
10573 | s | 24 | 32 25 27 28 29 30 31 | 34 35 36 37
10584 | s | 4 5 6 | 8 | 11 12 13 14 15 16 17 18 19
10593 | s | 1 3 4 5 6 7 | 8 13 14 15 16 17 18 19 20 21 22 23 24 25 26 28 29 30 31 32 33 34 | 9 10 11
10594 | o | 2 3 | 4 5 | 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24
10631 | s | 1 | 2 3 4 5 6 7 | 9 10 11 12 13 14 15 16 17
10634 | s | 1 2 3 4 5 6 | 7 8 9 10 | 12 13 14 15 16 17
10637 | s | 1 | 2 3 | 5 6 7 8 9 10 11
10662 | o | 4 5 | 1 2 3 | 7 8 9 10 11 12 13
10702 | o | 5 6 | 1 2 3 4 | 8 9 10 11 12 13 14 15 16 17
10726 | s | 14 | 1 2 3 4 5 6 8 9 10 11 13 15 | 17 18 20 22 23 24 25 26
10736 | s | 7 8 9 | 13 14 | 16 17 18 19 20 21 22 23 24 25 26 27 28
10744 | s | 1 2 | 3 4 | 6 7 8 9
10757 | o | 1 2 3 4 5 | 17 18 19 | 21 22 23
10766 | s | 8 | 9 10 11 12 13 14 15 | 17 18 19 20
1079 | s | 1 2 3 4 5 | 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 | 22 23 24 25 26 27 28
10912 | o | 13 14 15 16 17 18 19 20 21 22 | 1 2 3 4 5 6 7 8 9 10 11 12 23 | 25 26 27 28 29 30
10947 | o | 14 15 16 | 1 2 3 4 5 6 7 8 9 10 11 12 13 17 | 19 21 23 24 25 26 27
10957 | s | 12 | 13 14 15 | 17 18 19 20 21
10963 | s | 1 2 3 4 6 7 8 | 10 11 12 13 14 15 16 17 18 | 20 21 22 23 24 25 26 27 28 29
11008 | s | 10 | 7 8 9 11 12 | 14 15 16 17 18 19 20 21 22 23
11034 | s | 1 2 3 | 4 5 6 7 8 9 10 11 12 | 14 15 16 17 18 19 20
11043 | s | 1 2 | 3 4 5 | 7 8 9 10 11 12 13 14 15 16 17
11061 | s | 1 | 2 3 5 6 7 8 | 10 11
11101 | s | 1 | 2 3 4 5 6 7 | 9 10 11
11107 | s | 1 2 | 3 4 5 6 7 8 9 | 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28
11128 | o | 7 8 | 9 10 11 12 | 14 15 16 18 19 20 21 22 23 24 25 26 27 28 29 31 32 33 34
11152 | s | 8 | 1 2 3 4 5 7 | 9 10 11 12 13 14 15
11204 | s | 14 | 18 | 21 22 23 24
11222 | s | 16 17 | 14 15 18 | 20 21 22 23
11229 | s | 4 5 | 1 2 3 6 | 8 9 10 11 12 13 14 15 16 17 18 19
11246 | s | 1 2 | 3 4 | 6 7 8 9 10 11 12 13 14 15 16 17 18 19
11339 | s | 24 25 26 | 29 | 30 31 32 33 34 35 36
11386 | s | 2 | 1 3 4 | 6 7 8 9 10 11 12 13 14 15 16 18 19 20 21
11419 | s | 36 | 35 39 | 37 38
11466 | s | 30 | 37 | 31 32 33 34 35 36
11532 | s | 4 | 1 2 3 5 6 9 | 7 8
11598 | s | 10 | 21 | 11 12 13 14 15 16 17 18 19 20
11738 | s | 1 | 4 | 6 7 8 9 10 11 12 13 14 15 16
1174 | o | 4 | 1 2 3 5 | 7 8 9 10
11754 | s | 18 | 17 19 20 21 24 | 22 23
11761 | s | 13 14 15 | 12 16 17 | 2 3 4 5 6 7 8 9
11766 | s | 12 13 14 15 | 10 11 16 17 19 20 21 22 23 26 27 28 29 30 31 32 33 34 36 37 38 | 40 41
11773 | s | 10 | 5 6 7 8 9 11 12 13 | 1 2 3 4
11815 | s | 5 | 1 2 3 4 6 | 8 9 10 11 12 13 15 16 17 18 19 20 21 22 23 25 26 27
11826 | o | 27 28 29 | 1 2 3 4 5 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 23 24 26 30 31 32 | 33 34
11877 | s | 1 | 2 3 4 6 7 11 12 13 14 15 16 17 18 19 20 21 | 9
11904 | s | 3 | 1 2 4 | 6 7 8 9 10 12 13 14 15 16 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 37 38 39 40 41 42 43
11928 | s | 1 2 | 3 4 | 6 7 8 9 10 11 12 14 15 16 17 18 20 21
12067 | s | 7 | 1 2 3 4 5 6 8 9 | 11 12 14 15 16 17 18 20 21 22 23 25 26 27 28 29
12080 | s | 8 9 | 11 | 13 14 15 16 17 18 19 20 21 22
12220 | s | 1 2 4 5 6 7 8 9 10 11 12 | 14 | 16 17 18 19 20 21 22 23 24
12226 | s | 9 10 | 1 2 3 4 5 6 7 8 11 12 13 14 15 16 17 18 19 | 20 21
12308 | s | 1 2 | 3 4 6 7 | 9 11 13 14 15
12461 | s | 1 2 3 4 | 5 6 7 8 9 10 11 | 13 14 15 16 17 18 19 20
12494 | o | 4 5 | 1 2 3 6 | 8 9 11 12 14 15 17 18 19 20 21 22 23 24 25 27 28 29
12513 | s | 1 2 | 3 | 5 6 7 8 9 10
1255 | s | 3 | 1 2 4 5 6 9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 | 7 8
12579 | s | 2 3 | 4 | 6 7 8
12625 | s | 4 5 | 2 3 6 7 8 9 | 11 12 14 15 16 17 19
12685 | s | 4 | 2 3 5 6 7 | 9 10 11 12 14 15 16 17 18 19 20 21
12733 | s | 9 10 | 13 | 17 18 19 20 21 22 23 24 25 27 28 30 31 32 33 34 35 36
12805 | s | 13 | 14 15 16 | 18 19 20 21 22
1281 | o | 18 | 1 2 4 5 6 7 8 9 10 11 12 13 14 15 17 19 | 21 22 23 24 25 26 27 28 29 30 31
12811 | s | 1 2 3 4 6 7 8 | 10 11 12 13 14 15 16 | 18 19 20 21 22 23 24 25 26 27
12819 | s | 1 | 2 3 | 5 6 7 8 9 10 11 13 14 15 16 17 18
12836 | s | 5 6 | 1 2 3 4 | 8 9 10 11 12 13 14 15
12837 | s | 3 4 | 1 2 5 | 7 8 9
12839 | o | 3 4 | 1 2 | 7 8 9 10 11 12 13 14 15
12846 | s | 1 2 | 3 4 5 | 7 8 9 10 11
1286 | s | 5 | 1 2 3 4 6 7 | 9 10 11 12 13 14 15 16 17 18 19 20 21 22
12866 | s | 1 2 3 | 4 5 6 7 | 9 10 11 12 13 14 15
